,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
511,4,2,0,0,0,0,35
512,4,3,2,0,2,0,35
513,4,4,1,0,1,0,35
514,4,5,5,0,5,0,35
515,7,1,0,0,0,0,35
516,7,2,0,0,0,0,35
517,7,3,0,0,0,0,35
518,7,4,0,0,0,88,35
519,7,5,0,0,0,0,35
520,10,1,0,0,0,0,35
521,10,2,0,0,0,0,35
522,10,3,0,0,0,950,35
523,10,4,0,0,0,928,35
524,10,5,0,0,0,920,35
525,4,1,0,0,0,0,36
526,4,2,5,0,5,0,36
527,4,3,0,0,0,0,36
528,4,4,0,0,0,3,36
529,4,5,0,0,0,2,36
530,7,1,0,0,0,0,36
531,7,2,0,0,0,0,36
532,7,3,0,0,0,92,36
533,7,4,0,0,0,23,36
534,7,5,0,0,0,0,36
535,10,1,0,0,0,0,36
536,10,2,0,0,0,0,36
537,10,3,128,0,128,827,36
538,10,4,0,0,0,942,36
539,10,5,0,0,0,929,36
540,4,1,0,0,0,0,37
541,4,2,0,0,0,5,37
542,4,3,2,0,2,1,37
543,4,4,0,0,0,2,37
544,4,5,2,0,2,0,37
545,7,1,0,0,0,0,37
546,7,2,0,0,0,0,37
547,7,3,16,0,16,74,37
548,7,4,0,0,0,78,37
549,7,5,0,0,0,0,37
550,10,1,0,0,0,0,37
551,10,2,0,0,0,0,37
552,10,3,0,0,0,951,37
553,10,4,0,0,0,935,37
554,10,5,0,0,0,925,37
555,4,1,0,0,0,0,38
556,4,2,0,0,0,0,38
557,4,3,3,0,3,1,38
558,4,4,0,0,0,1,38
559,4,5,2,0,2,0,38
560,7,1,0,0,0,0,38
561,7,2,0,0,0,4,38
562,7,3,0,0,0,91,38
563,7,4,0,0,0,81,38
564,7,5,0,0,0,0,38
565,10,1,0,0,0,0,38
566,10,2,0,0,0,0,38
567,10,3,0,0,0,955,38
568,10,4,0,0,0,934,38
569,10,5,0,0,0,923,38
570,4,1,0,0,0,0,39
571,4,2,2,0,2,2,39
572,4,3,2,0,2,2,39
573,4,4,0,0,0,1,39
574,4,5,3,0,3,0,39
575,7,1,0,0,0,0,39
576,7,2,0,0,0,0,39
577,7,3,0,0,0,97,39
578,7,4,0,0,0,88,39
579,7,5,0,0,0,0,39
580,10,1,0,0,0,0,39
581,10,2,0,0,0,0,39
582,10,3,0,0,0,952,39
583,10,4,0,0,0,937,39
584,10,5,0,0,0,914,39
585,4,1,0,0,0,0,40
586,4,2,0,0,0,0,40
587,4,3,0,0,0,0,40
588,4,4,0,0,0,4,40
589,4,5,4,0,4,0,40
590,7,1,0,0,0,0,40
591,7,2,0,0,0,17,40
592,7,3,0,0,0,93,40
593,7,4,0,0,0,81,40
594,7,5,0,0,0,0,40
595,10,1,0,0,0,0,40
596,10,2,0,0,0,0,40
597,10,3,0,0,0,203,40
598,10,4,0,0,0,935,40
599,10,5,0,0,0,921,40
600,4,1,0,0,0,0,41
601,4,2,4,0,4,2,41
602,4,3,5,0,5,1,41
603,4,4,0,0,0,2,41
604,4,5,0,0,0,0,41
605,7,1,0,0,0,0,41
606,7,2,0,0,0,0,41
607,7,3,0,0,0,88,41
608,7,4,0,0,0,21,41
609,7,5,0,0,0,0,41
610,10,1,0,0,0,0,41
611,10,2,0,0,0,0,41
612,10,3,0,0,0,957,41
613,10,4,0,0,0,441,41
614,10,5,0,0,0,932,41
615,4,1,0,0,0,0,42
616,4,2,3,0,3,2,42
617,4,3,3,0,3,1,42
618,4,4,0,0,0,3,42
619,4,5,3,0,3,0,42
620,7,1,0,0,0,0,42
621,7,2,0,0,0,38,42
622,7,3,0,0,0,92,42
623,7,4,0,0,0,87,42
624,7,5,0,0,0,0,42
625,10,1,0,0,0,0,42
626,10,2,0,0,0,0,42
627,10,3,0,0,0,940,42
628,10,4,0,0,0,922,42
629,10,5,0,0,0,921,42
630,4,1,0,0,0,0,43
631,4,2,0,0,0,0,43
632,4,3,0,0,0,0,43
633,4,4,1,0,1,0,43
634,4,5,0,0,0,4,43
635,7,1,0,0,0,0,43
636,7,2,1,0,1,0,43
637,7,3,0,0,0,92,43
638,7,4,0,0,0,32,43
639,7,5,0,0,0,0,43
640,10,1,0,0,0,0,43
641,10,2,0,0,0,0,43
642,10,3,0,0,0,950,43
643,10,4,0,0,0,937,43
644,10,5,0,0,0,916,43
645,4,1,0,0,0,0,44
646,4,2,0,0,0,0,44
647,4,3,0,0,0,0,44
648,4,4,2,0,2,1,44
649,4,5,2,0,2,0,44
650,7,1,0,0,0,0,44
651,7,2,0,0,0,11,44
652,7,3,0,0,0,86,44
653,7,4,0,0,0,81,44
654,7,5,0,0,0,0,44
655,10,1,0,0,0,0,44
656,10,2,0,0,0,0,44
657,10,3,0,0,0,948,44
658,10,4,0,0,0,926,44
659,10,5,0,0,0,930,44
660,4,1,0,0,0,0,45
661,4,2,1,0,1,0,45
662,4,3,2,0,2,2,45
663,4,4,0,0,0,2,45
664,4,5,1,0,1,0,45
665,7,1,0,0,0,0,45
666,7,2,0,0,0,102,45
667,7,3,0,0,0,37,45
668,7,4,16,0,16,71,45
669,7,5,0,0,0,0,45
670,10,1,0,0,0,0,45
671,10,2,0,0,0,3,45
672,10,3,0,0,0,944,45
673,10,4,0,0,0,921,45
674,10,5,0,0,0,912,45
675,4,1,0,0,0,0,46
676,4,2,0,0,0,0,46
677,4,3,0,0,0,4,46
678,4,4,2,0,2,0,46
679,4,5,0,0,0,2,46
680,7,1,0,0,0,0,46
681,7,2,1,0,1,0,46
682,7,3,0,0,0,12,46
683,7,4,16,0,16,75,46
684,7,5,0,0,0,0,46
685,10,1,0,0,0,0,46
686,10,2,0,0,0,0,46
687,10,3,0,0,0,951,46
688,10,4,0,0,0,929,46
689,10,5,0,0,0,431,46
690,4,1,0,0,0,0,47
691,4,2,4,0,4,2,47
692,4,3,5,0,5,2,47
693,4,4,1,0,1,3,47
694,4,5,3,0,3,1,47
695,7,1,0,0,0,0,47
696,7,2,0,0,0,0,47
697,7,3,0,0,0,86,47
698,7,4,0,0,0,90,47
