,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
509,10,5,970,84,886,28,34
510,4,1,0,0,0,0,35
511,4,2,0,0,0,0,35
512,4,3,2,0,2,0,35
513,4,4,1,0,1,0,35
514,4,5,5,0,5,0,35
515,7,1,0,0,0,0,35
516,7,2,0,0,0,0,35
517,7,3,0,0,0,0,35
518,7,4,109,28,81,7,35
519,7,5,0,0,0,0,35
520,10,1,0,0,0,0,35
521,10,2,0,0,0,0,35
522,10,3,987,50,937,13,35
523,10,4,974,69,905,23,35
524,10,5,979,82,897,23,35
525,4,1,0,0,0,0,36
526,4,2,5,0,5,0,36
527,4,3,0,0,0,0,36
528,4,4,0,0,0,3,36
529,4,5,0,0,0,2,36
530,7,1,0,0,0,0,36
531,7,2,0,0,0,0,36
532,7,3,108,22,86,6,36
533,7,4,41,23,18,5,36
534,7,5,0,0,0,0,36
535,10,1,0,0,0,0,36
536,10,2,0,0,0,0,36
537,10,3,976,50,926,29,36
538,10,4,973,62,911,31,36
539,10,5,951,69,882,47,36
540,4,1,0,0,0,0,37
541,4,2,0,0,0,5,37
542,4,3,2,0,2,1,37
543,4,4,0,0,0,2,37
544,4,5,2,0,2,0,37
545,7,1,0,0,0,0,37
546,7,2,1,1,0,0,37
547,7,3,107,20,87,3,37
548,7,4,105,32,73,5,37
549,7,5,0,0,0,0,37
550,10,1,0,0,0,0,37
551,10,2,0,0,0,0,37
552,10,3,990,48,942,9,37
553,10,4,959,64,895,40,37
554,10,5,965,74,891,34,37
555,4,1,0,0,0,0,38
556,4,2,0,0,0,0,38
557,4,3,3,0,3,1,38
558,4,4,0,0,0,1,38
559,4,5,2,0,2,0,38
560,7,1,0,0,0,0,38
561,7,2,0,0,0,4,38
562,7,3,104,20,84,7,38
563,7,4,105,30,75,6,38
564,7,5,0,0,0,0,38
565,10,1,0,0,0,0,38
566,10,2,0,0,0,0,38
567,10,3,995,52,943,12,38
568,10,4,994,73,921,13,38
569,10,5,986,74,912,11,38
570,4,1,0,0,0,0,39
571,4,2,2,0,2,2,39
572,4,3,2,0,2,2,39
573,4,4,0,0,0,1,39
574,4,5,3,0,3,0,39
575,7,1,0,0,0,0,39
576,7,2,0,0,0,0,39
577,7,3,106,17,89,8,39
578,7,4,107,25,82,6,39
579,7,5,0,0,0,0,39
580,10,1,0,0,0,0,39
581,10,2,0,0,0,0,39
582,10,3,968,50,918,34,39
583,10,4,977,58,919,18,39
584,10,5,961,84,877,37,39
585,4,1,0,0,0,0,40
586,4,2,0,0,0,0,40
587,4,3,0,0,0,0,40
588,4,4,0,0,0,4,40
589,4,5,4,0,4,0,40
590,7,1,0,0,0,0,40
591,7,2,21,5,16,1,40
592,7,3,108,21,87,6,40
593,7,4,107,31,76,5,40
594,7,5,0,0,0,0,40
595,10,1,0,0,0,0,40
596,10,2,0,0,0,0,40
597,10,3,230,34,196,7,40
598,10,4,981,58,923,12,40
599,10,5,987,83,904,17,40
600,4,1,0,0,0,0,41
601,4,2,4,0,4,2,41
602,4,3,5,0,5,1,41
603,4,4,0,0,0,2,41
604,4,5,0,0,0,0,41
605,7,1,0,0,0,0,41
606,7,2,0,0,0,0,41
607,7,3,109,27,82,6,41
608,7,4,43,25,18,3,41
609,7,5,0,0,0,0,41
610,10,1,0,0,0,0,41
611,10,2,0,0,0,0,41
612,10,3,980,40,940,17,41
613,10,4,487,54,433,8,41
614,10,5,981,68,913,19,41
615,4,1,0,0,0,0,42
616,4,2,3,0,3,2,42
617,4,3,3,0,3,1,42
618,4,4,0,0,0,3,42
619,4,5,3,0,3,0,42
620,7,1,0,0,0,0,42
621,7,2,49,14,35,3,42
622,7,3,100,19,81,11,42
623,7,4,107,25,82,5,42
624,7,5,0,0,0,0,42
625,10,1,0,0,0,0,42
626,10,2,0,0,0,0,42
627,10,3,981,60,921,19,42
628,10,4,968,81,887,35,42
629,10,5,967,80,887,34,42
630,4,1,0,0,0,0,43
631,4,2,0,0,0,0,43
632,4,3,0,0,0,0,43
633,4,4,2,1,1,0,43
634,4,5,0,0,0,4,43
635,7,1,0,0,0,0,43
636,7,2,2,1,1,0,43
637,7,3,106,24,82,10,43
638,7,4,49,19,30,2,43
639,7,5,0,0,0,0,43
640,10,1,0,0,0,0,43
641,10,2,0,0,0,0,43
642,10,3,991,52,939,11,43
643,10,4,986,60,926,11,43
644,10,5,976,83,893,23,43
645,4,1,0,0,0,0,44
646,4,2,0,0,0,0,44
647,4,3,0,0,0,0,44
648,4,4,2,0,2,1,44
649,4,5,2,0,2,0,44
650,7,1,0,0,0,0,44
651,7,2,20,10,10,1,44
652,7,3,93,20,73,13,44
653,7,4,105,27,78,3,44
654,7,5,0,0,0,0,44
655,10,1,0,0,0,0,44
656,10,2,0,0,0,0,44
657,10,3,975,50,925,23,44
658,10,4,967,75,892,34,44
659,10,5,965,76,889,41,44
660,4,1,0,0,0,0,45
661,4,2,1,0,1,0,45
662,4,3,2,0,2,2,45
663,4,4,0,0,0,2,45
664,4,5,1,0,1,0,45
665,7,1,0,0,0,0,45
666,7,2,112,14,98,4,45
667,7,3,47,12,35,2,45
668,7,4,107,26,81,6,45
669,7,5,0,0,0,0,45
670,10,1,0,0,0,0,45
671,10,2,0,0,0,3,45
672,10,3,973,54,919,25,45
673,10,4,962,81,881,40,45
674,10,5,962,86,876,36,45
675,4,1,0,0,0,0,46
676,4,2,0,0,0,0,46
677,4,3,0,0,0,4,46
678,4,4,2,0,2,0,46
679,4,5,0,0,0,2,46
680,7,1,0,0,0,0,46
681,7,2,2,1,1,0,46
682,7,3,20,9,11,1,46
683,7,4,88,16,72,19,46
684,7,5,0,0,0,0,46
685,10,1,0,0,0,0,46
686,10,2,1,1,0,0,46
687,10,3,991,54,937,14,46
